Buchanosteus,0,0,?,0,1,?,0,?,1,0,0,0,1,0,0,0,?,?,?,?,?,?,?,3,0,-,1,0,?,0,0,0,1,0,1,1,1,1,1,-,0,?,0,-,0,-,?,0,-,?,0,0,1,1,1,1,0,-,-,-,-,-,0,0,-,0,?,?,?,?,?,?,?,?,?,?,1,0,-,-,-,-,-,-,0,-,-,1,1,1,0,0,0,-,-,-,1,0,1,0,0,0,1,-,?,-,-,0,0,?,0,?,?,0,1,0,0,0,1,?,?,0,1,?,0,?,0,1,0,?,1,?,1,0,0,0,0,0,0,0,-,0,0,-,?,-,0,?,0,1,0,?,1,0,1,0,0,0,1,1,0,?,0,1,0,0,0,0,0,0,0,0,?,1,1,0,0,0,0,0,0,0,0,0,?,0,?,0,-,0,-,?,0,0,0,0,0,?,?,0,1,0,0,0,?,1,?,?,?,?,0,0,0,0,0,1,0,?,-,-,-,-,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,-,?,?,?,?,?,?,?,0,-,-,-,?,1,-,0,?,?,?,0,0,-,0
Campbellodus,0,0,0,0,?,?,?,?,1,?,0,0,0,1,?,?,?,1,0,-,?,?,?,-,0,-,0,0,?,0,0,0,0,-,2,1,1,1,0,-,?,-,-,-,1,-,?,?,-,?,0,0,0,?,1,0,0,-,-,-,-,-,0,0,-,0,?,1,0,?,1,?,?,?,?,?,1,0,0,-,-,-,-,-,1,0,0,1,1,1,0,0,0,-,-,-,0,-,-,?,0,0,?,-,?,-,-,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,0,-,1,0,0,0,1,0,1,0,?,-,-,-,-,-,?,0,?,?,?,?,?,?,1,0,0,1,0,0,0,?,0,?,?,?,?,?,0,0,1,0,0,0,0,1,-,0,0,0,?,0,-,0,0
Cassidiceps,0,0,0,0,1,?,0,-,?,?,0,0,1,0,?,?,0,0,?,0,0,0,-,0,1,0,-,-,-,-,?,-,-,-,-,-,-,-,0,?,-,-,-,-,0,-,?,?,-,-,-,?,?,-,0,-,1,0,1,1,?,1,0,0,-,?,?,?,?,?,?,?,?,?,?,?,0,?,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,-,-,-,-,0,-,1,1,0,?,?,?,?,?,?,?,?,0,?,?,1,0,?,?,0,0,0,1,0,?,?,0,1,0,?,?,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0
Cheiracanthus,0,0,0,0,1,1,0,-,1,1,0,0,1,0,?,1,0,0,?,0,0,1,1,0,1,1,-,-,-,-,?,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,?,?,-,-,-,?,-,-,0,-,1,0,1,1,1,1,0,0,-,?,?,?,?,?,?,?,?,?,?,?,0,?,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,?,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,-,-,-,-,0,-,1,1,1,0,0,0,0,1,?,?,?,0,?,?,1,0,0,-,0,0,0,0,0,-,-,-,1,0,?,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
Cheirolepis,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,2,0,1,0,1,1,0,1,0,-,1,0,0,1,0,0,0,-,3,0,0/1,1,1,-,?,0,1,1,1,1,1,1,?,0,1,1,0,-,1,1,1,1,1,0,0,1,0,1,1,0,0,?,?,?,?,?,?,?,?,?,1,1,0,-,0,0,0,-,0,-,-,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,?,1,0,-,0,0,0,0,0,0,0,1,0,?,?,1,?,?,0,1,?,?,?,0,1,?,?,?,?,?,1,?,0,0,?,?,1,0,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,?,?,0,?,?,?,?,?,?,?,?,?,0,0,-,0,0,0,1,1,0,0,0,0,-,-,-,-,?,1,0,1,2,0,0,0,0,1,0,0,-,0,0,0,0,-,-,-,-,1,0,?,0,0,-,-,-,0,0,-,0,0,-,0,-,-,-,0
Chimaeroidei,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,-,0,0,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,0,-,0,0,0,0,0,1,0,1,1,-,0,1,0,0,-,-,-,-,-,1,1,1,-,0,0,-,-,-,-,-,-,0,-,-,-,0,1,1,-,-,-,-,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,-,-,1,0,0,1,1,0,1,1,0,1,1,-,2,-,0,0,-,1,0,0,0,2,0,-,-,0,2,0,0,-,1,0,-,1,0,0,0,0,0,2,0,0,0,1,0,1,1,1,-,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,-,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,-,-,-,-,0,-,1,-,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,-,0,0,1,1,0,0,0,0,-,0,0,1,0,0,0,0,0
Chondrenchelys,1,1,0,1,1,1,0,0,0,?,0,0,?,?,?,1,1,1,0,-,0,0,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,?,?,-,-,-,-,-,-,0,-,0,-,-,-,-,-,0,0,-,0,?,?,?,?,?,?,?,?,?,?,1,0,1,0/1,0,0,-,-,1,1,0,-,0,0,-,-,-,-,-,-,0,-,-,-,0,1,1,-,-,-,-,1,0,1,1,0,-,1,1,0,0,?,0,0,?,1,-,-,?,?,0,1,?,0,?,?,0,1,?,?,?,?,0,0,-,1,0,0,?,2,?,?,-,0,?,0,0,-,1,0,-,?,0,0,0,?,0,2,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,?,0,0,-,0,-,0,0,0,0,0,?,?,?,0,1,?,?,0,0,?,0,1,0,0,1,-,-,-,-,0,-,1,-,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,-,-,-,-,0,-,0,0,0,-,-,-,0,0,-,0,0,-,0,-,-,-,0
Cladodoides,1,1,0,1,?,?,-,?,?,?,?,-,?,?,?,?,?,?,?,?,0,?,?,?,?,?,-,-,-,-,?,-,-,-,?,-,-,-,?,?,-,-,-,-,-,-,?,?,-,-,-,-,?,-,0,-,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,1,1,1,1,1,0,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,1,?,1,?,0,0,0,0,?,?,?,?,?,0,1,0,1,0,?,?,?,0,1,1,?,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,-,0,1,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,-,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cladoselache,1,1,0,1,1,1,0,0,1,0,0,-,?,?,?,1,?,1,0,-,0,1,1,-,1,?,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,?,?,-,-,-,-,-,-,0,-,0,-,-,-,-,-,1,0,-,1,0,0,?,0,?,?,?,?,?,?,1,?,1,1,1,1,1,0,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,1,1,1,?,0,0,1,0,0,1,0,1,1,0,1,0,?,?,1,?,?,0,1,1,?,?,1,1,?,?,?,?,0,1,?,1,?,?,?,?,0,1,1,1,?,?,?,0,1,?,?,0,0,?,1,1,0,?,0,0,?,0,?,2,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,?,?,0,?,0,0,1,0,1,?,?,?,0,1,?,0,?,0,0,?,?,0,1,-,-,-,-,0,-,1,-,0,0,1,0,1,0,1,2,1,0,0,0,1,0,?,?,0,0,0,0,0,0,0,0,0,-,1,1,1,1,0,0,0,0,-,0,0,1,0,0,0,0,0
Climatius,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,?,0,0,0,0,0,1,1,3,1,0,-,-,-,-,?,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,?,?,-,-,-,?,0,-,0,-,1,0,0,0,0,0,0,0,-,?,?,?,?,?,?,?,?,?,?,?,1,?,1,0,-,-,1,?,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,?,1,1,1,?,0,0,?,0,0,?,0,?,0,0,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,-,1,-,0,-,1,0,0,0,0,0,?,?,?,?,?,0,?,?,1,0,0,0,0,0,0,1,0,?,?,0,1,0,?,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0
